sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Aggregate,"SMITH, MICHAEL",ART,317C,TRANSMEDIA: PERFORMNC ART I,0,35,5,1,3,0,1,0,0,0,0,0,1
Aggregate,"LUCAS, KRISTIN",ART,316V,TRANSMEDIA: VIDEO ART I,0,20,5,5,5,3,1,0,0,0,0,0,1
Aggregate,"LUCAS, KRISTIN",ART,336V,TRANSMEDIA: VIDEO ART II,0,6,5,7,1,1,1,0,1,0,0,0,0
Aggregate,"OPPENHEIM, ROBERT M",ANS,379,TRANSNATIONAL KOREA,0,6,3,2,2,0,0,1,0,0,0,0,0
Aggregate,"DEITCH, MICHELE Y",P A,680PB,TRANSP/ACCOUNT: CRIMNL JUSTICE,0,10,10,6,2,0,0,0,0,0,0,0,0
Aggregate,"KOCKELMAN, KARA",C E,392T,TRANSPORT ECONOMICS,0,4,0,0,3,0,0,0,0,0,0,0,0
Aggregate,"EDISON, THOMAS A",CHE,353,TRANSPORT PHENOMENA,0,46,3,10,17,21,9,12,8,2,10,0,3
Aggregate,"GANESAN, VENKAT",CHE,353,TRANSPORT PHENOMENA,0,19,9,12,10,9,8,5,15,0,0,0,0
Aggregate,"LLOYD, DOUGLAS R",CHE,353,TRANSPORT PHENOMENA,0,7,6,7,10,0,6,5,0,0,0,0,0
Aggregate,"WALTON, CHARLES M",C E,392U,TRANSPORTATION SYSTEMS MGMT,0,25,19,10,5,2,0,0,0,0,0,0,0
Aggregate,"SCIARA, GIAN CLAUDIA",CRP,384,TRANSPORTATN PLANNING/POLICY,0,0,6,8,3,0,0,0,0,0,0,0,0
Aggregate,"DILLER, KENNETH R",BME,353,TRANSPRT PHENOM LIVING SYS-ENG,0,9,8,0,1,0,0,0,0,0,0,0,0
Aggregate,"DILLER, KENNETH R",BME,353,TRANSPRT PHENOM LIVING SYS-GBR,0,33,8,1,1,0,0,0,0,0,0,0,0
Aggregate,"BROWER, BENJAMIN C",HIS,381,TRAUMA AND HISTORY,0,6,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"SLATER, AVERY K",E,379R,TRAUMA AND LITERATURE,0,14,2,1,1,0,0,0,0,0,0,0,1
Aggregate,"FAIGLEY, LESTER L",E,379R,TRAVEL LITERATURE,0,29,8,3,5,1,0,1,2,0,0,0,2
Aggregate,"SHORKEY, CLAYTON T",S W,360K,TREATMENT OF CHEM DEPENDENCE,0,61,23,12,9,7,3,3,1,1,1,0,1
Aggregate,"LOCKERD, MARTIN B",E,349S,TS ELIOT,0,2,4,8,2,2,0,0,0,0,0,0,0
Aggregate,"LEVACK, BRIAN P",HIS,375K,"TUDOR ENGLAND, 1485-1603",0,57,0,41,23,0,8,10,0,1,2,0,4
Aggregate,"KIEHNE, THOMAS M",M E,360L,TURBOMACHINERY & COMPRESS FLOW,0,9,10,8,12,5,3,2,1,0,3,0,0
Aggregate,"PERREN, ALISA H",RTF,335,TV ANALYSIS AND CRITICISM,0,18,10,11,8,3,3,4,1,1,0,1,5
Aggregate,"KORNHABER, DAVID D",E,369,TWENTIETH-CENTURY DRAMA,0,7,6,1,2,0,0,1,0,0,0,0,0
Aggregate,"ANTOKOLETZ, ELLIOTT M",MUS,387L,TWENTIETH-CENTURY PIANO LIT,0,8,0,1,2,1,0,0,0,0,0,0,0
Aggregate,"WHITBREAD, THOMAS B",E,371K,TWENTIETH-CENTURY POETRY,0,8,6,1,1,0,0,0,0,0,0,0,0
Aggregate,"COHEN, MATTHEW",E,350M,TWISTED LITERATURE-HON,0,12,1,0,1,0,0,0,0,0,0,0,0
Aggregate,"DAUGHERTY, NEAL A",ART,319T,TWO-DIMENSIONAL ANIMATION,0,20,2,3,5,0,0,1,0,0,0,0,0
Aggregate,"FABER, JONATHAN J",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,2,4,3,2,0,2,0,0,0,0,0,0
Aggregate,"FASELER, SHANNON H",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,5,5,0,0,0,1,0,0,0,0,0,0
Aggregate,"HILDEBRANDT, MEGAN L",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,0,11,12,8,1,0,0,0,0,0,0,0
Aggregate,"JOHNSON, BETHANY J",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,12,19,19,11,2,0,2,0,1,0,0,0
Aggregate,"KIM, JIEUN B",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,7,4,2,0,1,0,0,0,0,0,0,0
Aggregate,"MUTCHLER, LESLIE A",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,26,19,9,2,0,1,1,0,0,0,0,0
Aggregate,"PAYZANT, MARCUS R",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,10,3,0,0,1,0,0,0,0,0,0,0
Aggregate,"SCHULTZ, HEATH",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,3,7,1,3,0,0,0,0,0,0,0,0
Aggregate,"URBAN, JASON P",ART,304K,TWO-DIMENSIONAL FOUNDATIONS,0,6,3,2,0,0,0,0,0,0,0,0,0
Aggregate,"HUK, JANE M",NSC,371,TX INTERDISCIPLINARY PLAN SMNR,0,5,3,1,0,1,0,0,0,0,0,0,0
Aggregate,"VON HIPPEL, PAUL",P A,680PB,TX LEG SESS/EV-BASED ED POL,0,6,8,0,1,1,0,0,0,0,0,0,0
Aggregate,"NASADOWSKI, REBECCA S",DES,325,TYPOGRAPHY I,0,2,11,3,1,0,0,0,0,0,0,0,0
Aggregate,"CISNEROS, CASSANDRA F",DES,335,TYPOGRAPHY II,0,7,3,0,1,0,0,0,0,0,0,0,0
Aggregate,"WILKINS, JASON R",DES,335,TYPOGRAPHY II,0,5,5,0,1,0,0,0,0,0,0,0,0
Aggregate,"BAYER, KARL O",LAW,379M,U.S. COMMERCIAL ARBITRATION,1,3,9,4,1,1,0,1,0,0,1,0,0
Aggregate,"LOPEZ, SARAH L",ARC,386M,U.S. CULTURAL LANDSCAPES,0,4,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"MCCRAY, TALIA M",CRP,384,U.S. TRANS PLANNING & POLICY,0,14,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"JACKSON, CHARLES S",GEO,391,UNCERTAINTY QUANTIFICATION,0,5,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"LIN, CALVIN",C S,378,UNDERGRAD READING AND RSCH-FRI,0,11,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"MARSLETT, GEOFFREY C",RTF,344N,UNDERGRADUATE ANIMATION THESIS,0,11,2,7,0,0,1,0,0,0,0,0,0
Aggregate,"BAGCHI, DIA N",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,16,2,1,0,1,0,1,0,0,0,0,0
Aggregate,"BECKHAM, JOSH T",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,42,12,1,1,2,1,0,0,0,0,0,0
Aggregate,"CAMPITELLI, BRANDON E",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,4,5,2,0,0,0,0,0,0,0,0,0
Aggregate,"CHOY, GRACE",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,35,4,2,1,1,0,0,0,0,0,0,0
Aggregate,"HATLESTAD, GREGORY J",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,17,1,0,1,0,0,0,0,0,0,0,0
Aggregate,"LEWIS, MARSHA J",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,7,3,0,1,0,0,0,0,0,0,0,0
Aggregate,"MACKRELL, ALBERT J",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,43,5,2,4,2,0,1,0,0,0,0,0
Aggregate,"MISHLER, DENNIS M",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,9,0,0,2,0,0,0,0,0,0,0,0
Aggregate,"PALMER, GREGORY C",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,62,8,1,2,1,0,0,0,0,0,0,0
