sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Spring 2014,"ADAMS, ROBERT J JR",B A,291,SPEC STDS: CAPSTONE INTEGRATED,0,38,8,11,12,0,0,0,0,0,0,0,0
Spring 2014,"ADAMS, ROBERT J JR",MAN,385,TEXAS VENTURE LABS PRACTICUM,0,19,6,4,3,1,0,0,0,0,0,0,0
Spring 2014,"ADAMS, SUELLEN S",INF,385T,INFORMATION & RECREATION-WB,0,6,1,0,1,0,0,0,0,0,0,0,0
Spring 2014,"ADELMAN, DAVID E",LAW,397S,SMNR: ENERGY DEVEL AND POLICY,0,8,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"AGARWAL, ASHISH",MIS,373,13-INFO TECH FOR SUPPLY CHAINS,0,13,9,3,9,3,1,0,0,0,0,0,0
Spring 2014,"AGARWAL, ASHISH",MIS,301H,INTRO INFO TECH MGMT: HONORS,0,20,21,27,8,1,0,0,0,0,0,0,0
Spring 2014,"AGARWAL, ASHISH",O M,337,4-SUPPLY CHAIN DSGN/PLAN/CNTRL,0,4,1,2,1,1,1,0,0,0,0,0,0
Spring 2014,"AGARWALA, SEEMA",BIO,365N,DEV/PLASTICITY OF NERVOUS SYS,0,4,3,3,4,4,2,0,1,1,0,0,3
Spring 2014,"AGUILERA, LYDIA",PHR,194P,ADV PHARMCOTHRPEUT LAB-VAL,0,3,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"AIDA, YUKIE",JPN,320K,READINGS IN MODERN JAPANESE I,0,4,2,1,1,2,0,0,1,0,0,0,2
Spring 2014,"AIDA, YUKIE",JPN,610D,JAPANESE II,0,8,3,5,5,4,3,1,1,0,0,0,1
Spring 2014,"AINSLIE, RICARDO C",EDP,384,8-QUALITATIVE RESEARCH METHODS,0,5,4,0,0,0,0,0,0,0,0,0,0
Spring 2014,"AKINGBALA, FUNSHO M",EDC,370E,3-SCIENCE-T,0,18,3,1,0,0,0,0,0,0,0,0,0
Spring 2014,"AKINS, WILEY",RTF,344M,VISUAL EFFECTS & MOTION GRPHCS,0,11,1,3,1,0,0,0,0,0,0,0,0
Spring 2014,"AKINS, WILEY",RTF,344N,CHARACTER ANIMATION IN 3D,0,23,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ALAM, MUHAMMAD S",P S,303,INTRO PHYS SCI I: MECH & HEAT,0,26,7,5,4,2,0,0,0,0,0,0,0
Spring 2014,"AL-BATAL, MAHMOUD M",ARA,383C,3-CURRICULUM DESIGN IN ARABIC,0,7,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ALBERTSON, BETHANY L",GOV,310L,AMERICAN GOVERNMENT,0,16,19,22,33,17,25,20,12,6,6,2,5
Spring 2014,"ALBERTSON, BETHANY L",GOV,370L,16-POLITICAL PSYCHOLOGY,0,7,2,4,5,2,0,0,0,0,0,0,0
Spring 2014,"ALBINIAK, THEODORE N",CMS,306M,PROFESSNL COMMUNICATION SKILLS,0,4,0,0,19,0,0,2,0,0,0,0,0
Spring 2014,"ALBRECHT, JAMES W JR",ACC,387,4-STRATEGIC CONTROL SYSTEMS,0,26,21,5,1,0,0,0,0,0,0,0,0
Spring 2014,"ALEXANDER, JOSHUA D",FIN,377,5-ENERGY FINANCIAL RISK MGMT,0,8,2,7,5,2,3,0,0,0,0,0,0
Spring 2014,"ALLCOCK, DANIEL J",M,367K,TOPOLOGY I,0,3,2,0,3,1,1,0,1,0,0,0,1
Spring 2014,"ALLEN, DAVID T",CHE,341,DESIGN FOR ENVIRONMENT,0,34,8,7,7,6,3,1,0,0,0,0,0
Spring 2014,"ALLEN, JERROD S",M E,350,MACHINE TOOL OPERATN FOR ENGRS,0,6,14,2,0,0,0,0,0,0,0,0,0
Spring 2014,"ALMAZAN, ANDRES",FIN,394,7-RAISING CAPITAL,0,10,3,5,0,0,0,0,0,0,0,0,0
Spring 2014,"ALMY, DEAN J",ARC,386M,URBAN HOUSING,0,4,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ALMY, DEAN J",ARC,520L,DESIGN IV,0,4,1,5,3,0,0,0,0,0,0,0,0
Spring 2014,"ALONZO, APRIL M",N,290R,ADULT HEALTH NUR II PRACTICUM,0,6,0,0,2,0,0,0,0,0,0,0,0
Spring 2014,"ALPER, HAL S",UGS,302,ENGINEERING BIOLOGY,0,15,0,0,2,0,0,0,0,0,0,0,1
Spring 2014,"ALPERT-ABRAMS, HANNAH R",RHE,306,RHETORIC AND WRITING,0,4,5,1,3,3,2,1,0,0,0,1,0
Spring 2014,"ALRUTZ, MEGAN",T D,383P,PRE-THESIS: RSCH AND PRACTICE,0,3,1,0,1,0,0,0,0,0,0,0,0
Spring 2014,"ALRUTZ, MEGAN",T D,387D,1-APPLIED DRAMA AND THEATRE,0,8,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ALTER, KEVIN S",ARC,560R,ADVANCED DESIGN,0,0,1,0,5,1,1,2,0,0,0,0,0
Spring 2014,"ALTI, AYDOGAN",FIN,394,1-ADVANCED CORPORATE FINANCE,0,16,20,13,1,0,0,0,0,0,0,0,0
Spring 2014,"ALU, ANDREA",E E,363M,MICROWAVE AND RADIO FREQ ENGR,0,7,3,4,12,3,0,1,0,0,1,0,0
Spring 2014,"ALVARADO, CASSANDRE G",EDA,391E,THE COLLEGE STUDENT-HED,0,8,4,1,0,0,0,0,0,0,0,0,0
Spring 2014,"ALVES, GREGORY A",FIN,377,1-PORTFOLIO ANALYSIS AND MGMT,0,11,21,3,2,0,0,1,0,0,0,0,0
Spring 2014,"ALVES, ROSENTAL C",J,331F,ENTREPRENEURIAL JOURNALISM,0,10,0,0,2,0,0,0,0,0,0,0,0
Spring 2014,"ALVES, ROSENTAL C",J,367E,JOURNALISM IN LATIN AMERICA,0,3,4,0,1,2,0,1,0,0,0,0,0
Spring 2014,"ALVISI, LORENZO",C S,371D,DISTRIBUTED COMPUTING,0,6,4,5,1,4,3,6,2,0,3,0,8
Spring 2014,"AMADOR, CARLOS M",SPN,325L,INTRO SPN AMER LIT SNC MOD,0,11,3,1,1,0,0,0,0,0,0,0,0
Spring 2014,"AMADOR, CARLOS M",SPN,327W,ADV GRAMMAR AND COMPOSITION II,0,26,7,4,0,0,0,0,0,0,0,0,1
Spring 2014,"AMANATULLAH, EMILY T",MAN,383,20-ART AND SCI OF NEGOTIATION,0,35,25,25,23,8,0,2,1,0,0,0,0
Spring 2014,"AMEN, SALLY K",SSC,328M,BIOSTATISTICS,0,34,17,11,10,5,5,4,2,0,1,0,1
Spring 2014,"AMMON, NATALIE Y",HDF,652P,FIELD EXP II: EARLY CHILDHOOD,0,9,2,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, BARBARA S",S W,383T,SOCIAL WORK PRACTICE II,0,8,6,1,2,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, CHARLES O",T D,317N,DANCE HISTORY II,0,9,4,1,0,0,0,0,0,0,0,0,0
